left,right,cosine
57,115,3.9971994977354495
115,202,3.9971495134435004
57,199,3.9971021355615797
57,176,3.997069433055524
7,229,3.997007801913903
155,222,3.997000605136078
83,230,3.9969828480077556
176,199,3.996900365783217
118,141,3.996809252694044
26,133,3.9967935988778045
115,176,3.9967808979820534
130,174,3.9967622394370084
5,118,3.9966898560579818
102,155,3.9966712646974507
115,199,3.9966370261462876
66,222,3.996578065389663
130,214,3.9965671229682487
143,239,3.99653790419554
1,46,3.996529662836437
1,20,3.9965138519045382
41,244,3.9965136142251736
101,240,3.9965088028446933
39,121,3.9964900338210407
149,154,3.99643252349833
201,222,3.996348110271266
43,79,3.9963408713948043
86,157,3.9963287311523343
133,202,3.9962840998661013
135,244,3.9962719712244312
9,229,3.9962698106159404
155,235,3.996266506841046
229,244,3.996222632668556
5,84,3.9962186475244383
30,113,3.9962097419568785
6,20,3.9961872344419476
102,156,3.996157520378745
43,118,3.9961086083504034
0,209,3.9961078671169528
135,229,3.996102123140356
84,143,3.996084135811111
66,151,3.9960791857862183
7,135,3.9960778124027367
79,203,3.9960544239722187
5,143,3.9959947498884474
101,230,3.9959688138995517
63,115,3.9958909373637432
7,9,3.9958595305686404
101,160,3.9958537460277914
49,64,3.9958308241056733
70,139,3.9958125688380743
4,206,3.995756065911642
151,235,3.9957472090467725
27,69,3.9957306114659232
156,222,3.995700787371357
149,240,3.9956729815046272
81,168,3.9956658054069307
91,173,3.9956528074409867
94,212,3.995641022941147
118,239,3.995640770226709
48,81,3.9956157247985606
48,199,3.995613242525799
10,214,3.9956057161617156
41,135,3.9955665230266986
11,217,3.99555624930554
101,149,3.995451450885726
26,199,3.995437952967242
47,72,3.9954264237760797
154,230,3.9953633477725807
10,130,3.9953348576680376
47,133,3.9953070682399643
51,84,3.9952647058660133
106,241,3.995264070352242
7,41,3.995259324648134
111,143,3.995256009879368
230,240,3.995205454782185
151,222,3.995194197566319
95,103,3.9951909966058983
36,41,3.99518367259642
9,135,3.995127183850755
101,154,3.9951103660616756
65,113,3.9950999853311115
37,64,3.995084600578085
49,67,3.9949931289025256
8,189,3.994964504537301
