   ,left,right,mean              ,std_dev            ,interval_min      ,interval_max
82 ,177 ,72   ,1.25              ,0.4330127018922193 ,0.8693258959100075,1.6306741040899926
83 ,47  ,7    ,2.25              ,0.82915619758885   ,1.5210645870467665,2.9789354129532333
84 ,52  ,104  ,3.25              ,0.4330127018922193 ,2.8693258959100074,3.6306741040899926
85 ,66  ,17   ,2.75              ,0.82915619758885   ,2.0210645870467667,3.4789354129532333
86 ,173 ,80   ,2.25              ,0.4330127018922193 ,1.8693258959100074,2.6306741040899926
87 ,248 ,99   ,1.5               ,0.5                ,1.0604354070602464,1.9395645929397536
88 ,5   ,94   ,1.5               ,0.5                ,1.0604354070602464,1.9395645929397536
89 ,141 ,126  ,2.0               ,0.7071067811865476 ,1.3783617911255917,2.6216382088744083
90 ,88  ,131  ,2.0               ,0.7071067811865476 ,1.3783617911255917,2.6216382088744083
91 ,37  ,74   ,2.0               ,0.816496580927726  ,1.282194025535607 ,2.717805974464393
92 ,202 ,2    ,1.0               ,0.0                ,1.0               ,1.0
93 ,47  ,83   ,1.0               ,0.0                ,1.0               ,1.0
94 ,119 ,226  ,1.0               ,0.0                ,1.0               ,1.0
95 ,154 ,57   ,1.3333333333333333,0.4714045207910317 ,0.9189078607503944,1.747758805916272
96 ,148 ,74   ,1.3333333333333333,0.4714045207910317 ,0.9189078607503944,1.747758805916272
97 ,229 ,134  ,1.0               ,0.0                ,1.0               ,1.0
98 ,47  ,150  ,1.0               ,0.0                ,1.0               ,1.0
99 ,115 ,75   ,2.6666666666666665,1.247219128924647  ,1.5701999292417934,3.7631334040915396
100,95  ,83   ,1.3333333333333333,0.4714045207910317 ,0.9189078607503944,1.747758805916272
101,157 ,13   ,1.3333333333333333,0.4714045207910317 ,0.9189078607503944,1.747758805916272
102,19  ,216  ,1.0               ,0.0                ,1.0               ,1.0
103,4   ,12   ,1.3333333333333333,0.4714045207910317 ,0.9189078607503944,1.747758805916272
104,72  ,83   ,1.3333333333333333,0.4714045207910317 ,0.9189078607503944,1.747758805916272
105,29  ,86   ,1.0               ,0.0                ,1.0               ,1.0
106,93  ,18   ,1.3333333333333333,0.4714045207910317 ,0.9189078607503944,1.747758805916272
107,102 ,156  ,2.0               ,0.816496580927726  ,1.282194025535607 ,2.717805974464393
108,37  ,38   ,1.3333333333333333,0.4714045207910317 ,0.9189078607503944,1.747758805916272
109,64  ,163  ,3.0               ,0.816496580927726  ,2.282194025535607 ,3.717805974464393
110,4   ,83   ,1.0               ,0.0                ,1.0               ,1.0
111,52  ,33   ,1.0               ,0.0                ,1.0               ,1.0
