left,right,cosine
133,133,1.0
122,122,1.0
134,134,1.0
135,135,1.0
121,121,1.0
116,116,1.0
118,118,1.0
112,112,1.0
146,146,1.0
107,107,1.0
147,147,1.0
109,109,1.0
128,128,1.0
92,92,0.9999999999999999
93,93,0.9999999999999999
96,96,0.9999999999999999
9,9,0.9999999999999999
113,113,0.9999999999999999
120,120,0.9999999999999999
216,216,0.9999999999999999
215,215,0.9999999999999999
214,214,0.9999999999999999
20,20,0.9999999999999999
80,80,0.9999999999999999
238,238,0.9999999999999999
115,115,0.9999999999999999
204,204,0.9999999999999999
111,111,0.9999999999999999
149,149,0.9999999999999999
74,74,0.9999999999999999
131,131,0.9999999999999999
153,153,0.9999999999999999
60,60,0.9999999999999999
160,160,0.9999999999999999
63,63,0.9999999999999999
168,168,0.9999999999999999
46,46,0.9999999999999999
170,170,0.9999999999999999
145,145,0.9999999999999999
175,175,0.9999999999999999
65,65,0.9999999999999999
177,177,0.9999999999999999
141,141,0.9999999999999999
67,67,0.9999999999999999
35,35,0.9999999999999999
32,32,0.9999999999999999
31,31,0.9999999999999999
193,193,0.9999999999999999
27,27,0.9999999999999999
26,26,0.9999999999999999
132,132,0.9999999999999999
24,24,0.9999999999999999
23,23,0.9999999999999999
152,152,0.9999999999999999
22,22,0.9999999999999999
248,248,0.9999999999999999
139,139,0.9999999999999998
87,87,0.9999999999999998
48,48,0.9999999999999998
38,38,0.9999999999999998
221,221,0.9999999999999998
75,75,0.9999999999999998
61,61,0.9999999999999998
83,83,0.9999999999999998
140,140,0.9999999999999998
130,130,0.9999999999999998
8,8,0.9999999999999998
95,95,0.9999999999999998
119,119,0.9999999999999998
69,69,0.9999999999999998
78,78,0.9999999999999998
40,40,0.9999999999999998
212,212,0.9999999999999998
94,94,0.9999999999999997
129,129,0.9999999999999997
110,110,0.9999999999999997
28,28,0.9999999999999997
155,155,0.9999999999999997
24,111,0.9999998270480053
22,186,0.9999990317875116
24,119,0.9999985295532379
111,119,0.9999973480054608
23,27,0.9999958755300448
12,82,0.9999924488830579
42,79,0.9999901113308248
18,41,0.9999848808317715
94,212,0.9999834765669038
8,11,0.999981701721997
36,47,0.9999703372226691
53,177,0.9999311169057744
177,226,0.9997911868315964
43,139,0.9997900401283075
9,80,0.9997124396636775
170,185,0.9997000711315857
68,233,0.999690215542499
36,53,0.9996440984285273
47,53,0.9995901282540243
53,226,0.9995237742164854
66,83,0.9994577779405547
8,21,0.9994249706690685
50,77,0.9993499101339823
